pattern,Label
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( ( ( STR EQ '""",Attack
"VAR VAR VAR ) AND STR VAR STR EQ STR VAR""",Attack
"NUM ) ) ) ) +'""",Attack
"VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR-VAR VAR VAR VAR VAR. """,Safe
"NULL COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR'VAR VAR VAR VAR VAR VAR VAR.VAR VAR VAR VAR VAR""",Attack
"VAR VAR VAR-VAR VAR VAR!). VAR VAR VAR VAR""",Safe
"NUM ) AND STR LIKE 'VAR""",Attack
"NUM ) COMMENT """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( STR EQ '""",Attack
NUM ) TAUTOLOGY,Attack
"VAR VAR VAR...VAR. VAR VAR VAR FROM VAR AND VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR""",Safe
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND STR VAR STR LIKE STR VAR""",Attack
"VAR VAR VAR""",Safe
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( ( ( STR % STR EQ STR """,Attack
"VAR VAR - VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. NOT VAR VAR VAR. LT VAR / GT LT VAR / GT VAR""",Safe
"VAR VAR VAR VAR VAR VAR AND VAR VAR VAR VAR. VAR VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR""",Safe
"AND VAR""",Safe
"NUM ) COMMENT """,Attack
"VAR VAR'VAR VAR VAR VAR VAR""",Safe
"VAR. VAR VAR VAR OR VAR VAR VAR VAR VAR VAR (VAR VAR OR VAR LIKE VAR) AND VAR VAR VAR VAR VAR VAR VAR VAR. LT VAR / GT LT VAR / GT VAR VAR VAR VAR VAR""",Safe
"VAR ( VAR ( VAR ( NUM / NUM ) ) ) ) COMMENT """,Attack
"VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR'VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR...VAR. AND VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
"NULL COMMENT """,Attack
"NUM ) ) ) COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR'VAR VAR. LT VAR / GT LT VAR / GT VAR VAR.""",Safe
"NULL COMMENT """,Attack
"NUM ) ) ) AND ( ( ( STR VAR STR EQ STR VAR""",Attack
"VAR VAR VAR ) COMMENT """,Attack
"NUM ) COMMENT """,Attack
VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) TAUTOLOGY,Attack
"NUM COMMENT """,Attack
"VAR VAR VAR ) """,Attack
"NUM ) COMMENT """,Attack
"NULL COMMENT """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( ( ( STR VAR STR LIKE STR VAR""",Attack
"AND VAR VAR VAR VAR. LT VAR / GT LT VAR / GT VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR-VAR VAR VAR""",Safe
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM VAR.VAR VAR VAR VAR ) VAR ) COMMENT """,Attack
"IS VAR VAR VAR""",Safe
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) COMMENT """,Attack
"AND VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR STR VAR VAR STR . VAR VAR COMMENT VAR VAR VAR VAR VAR VAR VAR*/VAR VAR NUM COMMENT """,Attack
"VAR NOT VAR VAR VAR'VAR VAR (VAR IS VAR) VAR VAR VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR AND VAR VAR""",Safe
"VAR AND: LT +(}?- COMMENT (!![ ( SEMI STR LIKE SEMI 'VAR""",Attack
"NUM ) AND STR EQ '""",Attack
"VAR VAR""",Safe
"NULL COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR COMMENT VAR""",Safe
"VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR. VAR IS VAR VAR VAR. LT VAR """,Safe
"VAR VAR'VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR STR VAR VAR. LT VAR / GT LT VAR / GT VAR VAR VAR VAR VAR (VAR VAR VAR VAR AND """,Safe
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR IS VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR AND VAR VAR VAR VAR'VAR VAR VAR""",Safe
"VAR VAR VAR VAR. VAR/VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR STR VAR VAR VAR VAR. STR LT VAR / GT LT VAR / GT VAR VAR VAR VAR VAR VAR VAR VAR VAR (VAR VAR) AND VAR STR (VAR VAR). VAR VAR VAR (VAR VAR' VAR)""",Safe
"NUM ) ) ) AND ( ( ( STR VAR STR LIKE STR VAR""",Attack
"VAR VAR VAR VAR VAR VAR (VAR). VAR VAR VAR VAR VAR VAR VAR VAR VAR - VAR IS VAR VAR""",Safe
"NULL OR%(SELECT)(SELECT&(SELECT VAR))) NOT LIKE (SELECT GT VAR) OR (SELECT-(SELECT (SELECT NUM ))) NOT LIKE VAR && TRUE` OR VAR OR VAR STR OR FALSE OR (SELECT (SELECT (SELECT NUM ))) OR FALSE &&*TRUE AND VAR OR FALSE AND NUM COMMENT VAR{`""",Attack
"NUM ) """,Attack
"VAR VAR VAR AND VAR NUM VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR VAR VAR (VAR IS VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR!). VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR-VAR VAR. VAR VAR'VAR VAR VAR.""",Attack
"VAR VAR STR VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR VAR.""",Safe
"NULL COMMENT """,Attack
"NUM ) AND ( STR EQ '""",Attack
"VAR VAR VAR VAR. LT VAR / GT LT VAR / GT VAR VAR VAR VAR. VAR VAR NOT VAR VAR VAR VAR VAR VAR-VAR VAR""",Safe
"NUM ) AND ( ( NUM EQ NUM """,Attack
"AND VAR VAR IS VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR IS VAR VAR VAR VAR VAR AND IS VAR VAR VAR VAR VAR VAR-VAR VAR. LT VAR / GT LT VAR / GT VAR VAR VAR'VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. LT VAR / GT LT VAR / GT VAR VAR""",Safe
"VAR VAR VAR ) AND ( STR VAR STR LIKE STR VAR""",Attack
"VAR VAR VAR ) AND ( ( STR EQ 'VAR""",Attack
"VAR VAR VAR.VAR VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR NOT VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR'VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. LT VAR / STR VAR AND ( ( ( STR VAR STR EQ STR VAR""",Attack
"VAR VAR VAR VAR""",Safe
"NUM ) ) AND ( ( STR LIKE 'VAR""",Attack
"AND VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR ' NUM ) ) AND ( NUM EQ NUM ) * NUM AND ( ( NUM EQ NUM """,Attack
"NUM ) ) ||'""",Attack
"NUM COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR'VAR VAR VAR AND VAR VAR: VAR VAR VAR""",Safe
"NUM ) ) ) COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR NOT VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. LT VAR / GT LT VAR / GT VAR VAR""",Safe
"VAR VAR NUM OR NUM VAR VAR VAR VAR VAR VAR """,Safe
"VAR VAR VAR VAR VAR VAR VAR VAR VAR'VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR.""",Attack
"VAR VAR VAR VAR VAR? VAR VAR VAR VAR VAR VAR VAR VAR. VAR.""",Safe
"VAR """,Safe
"NULL COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR VAR VAR VAR. LT VAR / GT LT VAR / GT VAR VAR""",Safe
"VAR VAR VAR ) COMMENT """,Attack
"NULL ) VAR VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) VAR ) FROM VAR.VAR ) AND ( STR EQ 'VAR""",Attack
"VAR VAR""",Safe
"NUM ) ) ) AND STR VAR STR EQ STR VAR""",Attack
"NUM COMMENT """,Attack
"NUM ) ) ) AND ( NUM EQ NUM """,Attack
"VAR VAR VAR VAR VAR AND VAR""",Safe
"VAR VAR VAR VAR (VAR """,Safe
"AND VAR VAR VAR. LT VAR / GT LT VAR / GT (VAR VAR) VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR.""",Safe
"VAR IS VAR VAR VAR VAR. LT VAR / GT LT VAR / GT VAR' VAR VAR VAR VAR """,Safe
"VAR VAR VAR ) COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR IS VAR VAR VAR VAR VAR VAR VAR VAR VAR STR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. LT VAR / GT LT VAR / GT VAR: VAR IS VAR VAR VAR VAR VAR VAR VAR VAR """,Safe
"VAR VAR VAR VAR VAR VAR FROM VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR FROM VAR VAR """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( STR VAR STR EQ STR VAR""",Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND STR EQ '""",Attack
"NUM COMMENT """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( ( ( STR VAR STR EQ STR VAR""",Attack
"VAR VAR VAR VAR VAR. VAR VAR VAR VAR'VAR VAR VAR VAR""",Safe
"NUM ) ) ) AND ( ( STR EQ 'VAR""",Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) COMMENT """,Attack
"VAR ) ) """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( ( STR VAR STR LIKE STR VAR""",Attack
"VAR VAR VAR ) :AND (SELECT (SELECT{(SELECT (SELECT (SELECT (SELECT VAR)))))) OR FALSE %OR FALSE && (SELECT NUM ) NOT LIKE (SELECT (SELECT (SELECT (SELECT (SELECT NUM ))))) OR FALSE AND TRUE COMMENT """,Attack
"AND VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR - VAR VAR VAR VAR. VAR: NUM VAR NUM . LT VAR / GT LT VAR / GT VAR: VAR VAR VAR: VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR.""",Attack
"VAR'VAR VAR VAR VAR VAR VAR""",Safe
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) AND ( ( STR % STR EQ STR """,Attack
"VAR'VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR ( NUM EQ NUM ) VAR NUM VAR NUM VAR ) VAR NUM COMMENT """,Attack
"NUM ) ) ) """,Attack
"NUM ) AND ( STR EQ 'VAR""",Attack
"(SELECT (SELECT VAR))) AND VAR NOT ] EQ VAR- GT OR FALSE AND TRUE OR FALSE AND (SELECT (SELECT NUM )) OR (SELECT NUM ) COMMENT :(SELECT (SELECT COMMENT (SELECT SEMI (SELECT (SELECT NUM ))))) VAR""",Attack
"\VAR$:VAR+VAR~VAR VAR\VAR' AND NUM VAR ( ( VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) + ( SELECT ( VAR VAR ( NUM EQ NUM ) VAR VAR ( NUM ) VAR VAR ( NUM ) VAR ) ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) +VAR ( NUM ) ) ) """,Attack
"VAR NOT VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR VAR AND VAR VAR.""",Safe
"VAR VAR VAR. VAR VAR IS NUM % VAR!""",Safe
"VAR VAR VAR ) COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR. VAR """,Safe
"VAR VAR VAR VAR NOT VAR. VAR VAR VAR VAR VAR? VAR. VAR*/ EQ NUM """,Attack
"VAR STR VAR VAR. VAR VAR VAR VAR""",Safe
"NUM COMMENT """,Attack
"VAR VAR IS VAR VAR """,Safe
"VAR VAR VAR ) COMMENT """,Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) COMMENT """,Attack
"VAR VAR VAR VAR NOT VAR VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR VAR VAR. LT VAR / GT LT VAR / GT VAR'VAR VAR VAR VAR VAR VAR VAR VAR VAR NUM VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR. VAR VAR VAR""",Attack
"VAR VAR VAR ) COMMENT """,Attack
"NUM ) ) ) ) ||'""",Attack
"AND VAR VAR VAR IS VAR VAR VAR VAR """,Safe
"VAR'VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR NUM VAR VAR""",Safe
"VAR$VAR VAR VAR ) AND ( ( NUM EQ NUM """,Attack
"VAR VAR VAR ) COMMENT """,Attack
NUM ) TAUTOLOGY,Attack
"VAR VAR VAR VAR VAR VAR? VAR VAR STR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR AND..VAR""",Safe
"VAR VAR VAR ) AND ( ( ( STR EQ 'VAR""",Attack
"AND VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR'VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR.""",Safe
"VAR VAR VAR'VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR AND VAR VAR. VAR VAR VAR VAR VAR AND VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR-LIKE VAR""",Safe
"NULL COMMENT """,Attack
"VAR AND VAR VAR COMMENT VAR VAR'VAR VAR VAR VAR. LT VAR / GT LT VAR / GT VAR""",Safe
"VAR VAR VAR ) AND ( ( STR LIKE 'VAR""",Attack
"VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR NUM VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR.""",Safe
"VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR (VAR VAR VAR""",Safe
"NULL ) AND ( ( ( STR % STR EQ STR """,Attack
"VAR VAR VAR VAR VAR VAR VAR. VAR VAR""",Safe
"VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR (VAR VAR OR VAR ). VAR VAR VAR VAR VAR VAR VAR (VAR""",Safe
"VAR STR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR AND VAR VAR VAR VAR VAR VAR (VAR""",Safe
"]VAR+VAR] VAR.VAR$VAR? EQ VAR*VAR)VAR\VAR~VAR(VAR`VAR) SEMI -*VAR-VAR\VAR*^ LT VAR^VAR% NUM ([VAR{ COMMENT VAR`}VAR COMMENT COMMENT VAR LT }\*VAR/VAR-}:VAR}%VAR-(+VAR:(\VAR]VAR EQ NUM :)VAR%VAR($VAR COMMENT VAR] NUM ]} EQ VAR`VAR% LT :^VAR SEMI VAR$VAR?VAR(VAR~:VAR-`VAR\VAR^VAR^ LT -]VAR LT NUM ~VAR^ NUM !VAR NUM {VAR)VAR`VAR&+$ GT $VAR)VAR?^/VAR{ EQ VAR: VAR/]-/VAR!VAR:! LT ]&VAR^VAR|VAR~-VAR][VAR(VAR`VAR| VAR! NUM `VAR]VAR|-VAR{^VAR/VAR!: NUM {?+ NUM ?\VAR\VAR^:VAR?VAR+VAR+. NUM STR ) ) ) TAUTOLOGY .VAR ( VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) || ( SELECT ( VAR VAR ( NUM EQ NUM ) VAR NUM VAR NUM VAR ) FROM VAR ) ||VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) ||VAR ( NUM ) ) AND ( ( ( STR VAR STR EQ STR VAR""",Attack
"IS VAR VAR AND VAR VAR. VAR VAR VAR VAR VAR VAR AND VAR """,Safe
"NULL COMMENT """,Attack
"VAR STR VAR VAR STR VAR'VAR VAR VAR VAR """,Safe
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM ( SELECT NUM UNION_SELECT NUM UNION_SELECT NUM UNION_SELECT NUM ) VAR VAR VAR VAR ) """,Attack
"VAR VAR VAR ) AND STR VAR STR EQ STR VAR""",Attack
"NUM ) ) ) ) +'""",Attack
"[ NUM (VAR%VAR{VAR SEMI VAR.{VAR{\VAR/+VAR&VAR SEMI VAR EQ VAR VAR STR """,Attack
"NUM COMMENT """,Attack
"VAR ( VAR ( VAR ( NUM / NUM ) ) ) ) """,Attack
"AND VAR VAR VAR'VAR VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR FROM VAR! LT VAR / GT LT VAR / GT VAR: VAR VAR!""",Safe
"VAR VAR VAR ) AND ( STR EQ '""",Attack
"VAR ( VAR ( NUM ) * NUM ) ) VAR FROM VAR.VAR VAR VAR VAR ) VAR ) AND ( ( ( STR EQ '""",Attack
"VAR VAR VAR. VAR VAR (VAR VAR VAR VAR VAR VAR AND VAR VAR VAR): LT VAR / GT LT VAR / GT STR VAR AND VAR STR . VAR VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
"NUM ) ) ) """,Attack
"VAR VAR VAR ) AND ( ( ( STR VAR STR EQ STR VAR""",Attack
"VAR VAR VAR VAR VAR VAR""",Safe
"NULL COMMENT """,Attack
"VAR VAR VAR VAR VAR VAR IS VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR STR VAR VAR! STR VAR VAR VAR. VAR VAR AND VAR VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR NUM VAR VAR NUM . LT VAR / GT LT VAR / GT VAR VAR VAR VAR VAR VAR VAR""",Safe
"AND VAR VAR VAR VAR VAR VAR VAR VAR. VAR VAR NOT VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR STR VAR STR . VAR VAR VAR VAR VAR VAR VAR VAR VAR'VAR VAR (AND VAR VAR) VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
"VAR VAR VAR VAR.. VAR...VAR'VAR VAR VAR VAR VAR IS VAR VAR. VAR VAR VAR VAR VAR IS VAR VAR VAR VAR VAR VAR VAR VAR VAR VAR.""",Safe
"?VAR SEMI VAR:^] NUM GT -:VAR`.VAR^|@ NUM &VAR+VAR%VAR-VAR|VAR!`VAR@VAR) NUM @&VAR\VAR%?{^&VAR| NUM /@VAR)`VAR- NUM STR VAR STR VAR""",Attack
"AND IS VAR VAR VAR VAR VAR VAR. VAR VAR VAR VAR VAR VAR VAR VAR""",Safe
